titles,ranks,a_count,a_score,actor1,actor2,actor3,box_office,c_count,c_score,genre,mp_rating,runtime,year,month
Tell Them Who You Are,43,997,65,Haskell Wexler,Billy Crystal,Michael Douglas,,56,88,"Documentary,                        Special Interest,                        Television",R (for language and some sexual images),95,2005,May
Charlie and the Chocolate Factory,44,"32,495,175",51,Johnny Depp,Freddie Highmore,David Kelly,"206,100,000",185,82,"Comedy,                        Kids & Family,                        Science Fiction & Fantasy","PG (for quirky situations, action and mild language)",130,2005,Jul
Ong-Bak (Ong Bak: Muay Thai Warrior),45,"69,372",84,Tony Jaa,Petchthai Wongkamlao,Petchtai Wongkamlao,"3,875,926",93,86,"Action & Adventure,                        Art House & International,                        Drama","R (for sequences of strong violence, language, some drug use and sexuality)",105,2005,Feb
The Constant Gardener,46,"217,432",82,Ralph Fiennes,Rachel Weisz,Hubert Kounde,"33,565,375",155,83,"Drama,                        Mystery & Suspense","R (for language, some violent images and sexual content/nudity)",128,2005,Aug
The Cave of the Yellow Dog (Die Hohle des gelben Hundes),47,"3,818",87,Babbayar Batchuluun,Nansal Batchuluun,Nansalmaa Batchuluun,,45,88,"Art House & International,                        Drama,                        Special Interest",G,93,2005,Feb
Serenity,49,"312,805",91,Nathan Fillion,Gina Torres,Alan Tudyk,"25,335,935",151,83,"Action & Adventure,                        Science Fiction & Fantasy","PG-13 (for sequences of intense violence and action, and some sexual references)",119,2005,Sep
Star Wars: Episode III - Revenge of the Sith,50,"33,680,478",65,Ewan McGregor,Natalie Portman,Hayden Christensen,,227,79,"Action & Adventure,                        Drama,                        Science Fiction & Fantasy",PG-13 (for sci-fi violence and some intense images),140,2005,May
De Battre mon Coeur s'est Arrêté (The Beat That My Heart Skipped),51,"9,844",84,Romain Duris,Niels Arestrup,Linh-Dan Pham,"799,497",83,86,"Art House & International,                        Drama",R,107,2005,Jul
The Syrian Bride,52,"16,158",80,Hiam Abbass,Makram Khoury,Clara Khoury,,36,88,"Art House & International,                        Comedy,                        Drama",G,98,2005,Nov
2046,53,"46,626",85,Tony Leung Chiu Wai,Li Gong,Takuya Kimura,"1,237,566",98,85,"Art House & International,                        Drama,                        Science Fiction & Fantasy,                        Romance",R (for sexual content),123,2005,Aug
Saving Face,54,"8,481",88,Michelle Krusiec,Joan Chen,Lynn Chen,"1,000,385",72,86,"Comedy,                        Drama,                        Romance",R (for some sexuality and language),96,2005,May
Three Times (Zui hao de shi guang),55,"5,700",71,Qi Shu,Chen Chang,Fang Mei,,45,87,"Art House & International,                        Drama,                        Romance",NR,135,2005,May
Mysterious Skin,56,"37,831",89,Joseph Gordon-Levitt,Brady Corbet,Elisabeth Shue,"508,378",88,85,"Art House & International,                        Drama",NC17,99,2005,May
Gunner Palace,57,"2,393",66,Bryant Davis,Devon Dixon,Javorn Drummond,"63,520",88,85,"Documentary,                        Special Interest","PG-13 (on appeal for strong language throughout, violent situations and some drug references)",85,2005,Jun
Mad Hot Ballroom,58,"8,355",83,Madeleine Hackney,Wilson Castillo,Rodney Lopez,"7,899,271",99,84,"Documentary,                        Kids & Family,                        Musical & Performing Arts,                        Special Interest",PG (for some thematic elements),110,2005,May
Rois et Reine (Kings and Queen),59,"2,837",80,Emmanuelle Devos,Mathieu Amalric,Catherine Deneuve,"150,626",49,86,"Art House & International,                        Comedy,                        Drama",NR,150,2005,May
Cinderella Man,60,"282,005",91,Russell Crowe,Renée Zellweger,Paul Giamatti,"61,600,000",168,80,"Action & Adventure,                        Drama",PG-13 (for intense boxing violence and some language),144,2005,May
Hustle & Flow,61,"120,086",82,Terrence Howard,Anthony Anderson,Taryn Manning,"22,125,461",128,82,Drama,"R (for sex and drug content, pervasive language and some violence)",116,2005,Jul
La Moustache,62,"4,183",66,Vincent Lindon,Emmanuelle Devos,Mathieu Amalric,,36,86,"Art House & International,                        Drama",NR,86,2005,Oct
Inside Deep Throat,63,"6,561",66,Linda Lovelace,Gerard Damiano,Dennis Hopper,"479,143",99,83,"Documentary,                        Television",NC17 (for explicit sexual content),90,2005,Feb
Rize,64,"8,844",85,Lil C,Lil Tommy,Tommy the Clown,"3,278,611",77,84,"Documentary,                        Musical & Performing Arts,                        Special Interest","PG-13 (for suggestive content, drug references, language and brief nudity)",85,2005,Oct
The World's Fastest Indian,65,"35,735",89,Anthony Hopkins,Jessica Cauffiel,Saginaw Grant,"5,100,000",115,82,"Action & Adventure,                        Drama","PG-13 (for brief language, drug use and a sexual reference)",127,2005,Dec
The Perfect Crime (El Crimen Perfecto)(Crimen ferpecto),66,"5,636",83,Guillermo Toledo,Mónica Cervera,Tejada Enrique Villen,,45,85,"Art House & International,                        Comedy,                        Drama,                        Mystery & Suspense",NR,105,2005,Sep
13 Tzameti,67,"9,296",85,George Babluani,Aurelian Recoing,Aurélien Recoing,,56,84,"Art House & International,                        Drama,                        Mystery & Suspense",NR,93,2005,Jul
De zaak Alzheimer (The Memory of a Killer),68,"3,871",80,Koen De Bouw,Jan Decleir,Werner De Smedt,,56,84,"Action & Adventure,                        Drama,                        Mystery & Suspense","R (for violence, sexuality and nudity)",120,2005,Aug
Beyond the Gates,69,"17,616",85,John Hurt,Hugh Dancy,Dominique Horwitz,,53,84,Drama,"R (for strong violence, disturbing images and language)",115,2005,Dec
Three...Extremes (Saam gaang yi),70,"15,508",77,Miriam Yeung,Pauline Lau,Zabit Memedov,,52,84,"Art House & International,                        Horror","R (for strong disturbing violent content, some involving abortion and torture, and for sexuality and language)",125,2005,Oct
Aliens of the Deep,71,"4,118",49,James Cameron,Pamela Conrad,Pan Conrad,"8,261,010",51,84,"Documentary,                        Special Interest",G,47,2005,Nov
Sin City,72,"32,222,251",78,Bruce Willis,Mickey Rourke,Jessica Alba,,191,77,"Action & Adventure,                        Drama,                        Mystery & Suspense","R (for sustained strong stylized violence, nudity and sexual content including dialogue)",124,2005,Apr
Red Eye,73,"436,056",64,Rachel McAdams,Cillian Murphy,Brian Cox,"57,859,105",150,79,"Action & Adventure,                        Mystery & Suspense","PG-13 (for some intense sequences of violence, and language)",85,2005,Aug
Me and You and Everyone We Know,74,"46,604",84,John Hawkes,Miranda July,Miles Thompson,"3,800,000",92,81,"Art House & International,                        Comedy,                        Drama","R (for disturbing sexual content involving children, and for language)",90,2005,Jun
Layer Cake,75,"147,713",85,Daniel Craig,Colm Meaney,Kenneth Cranham,"2,277,736",111,80,"Action & Adventure,                        Drama,                        Mystery & Suspense","R (for strong brutal violence, sexuality, nudity, pervasive language and drug use)",104,2005,May
Dear Frankie,76,"30,691",90,Emily Mortimer,Jack McElhone,Mary Riggans,,89,81,Drama,PG-13 (for language),102,2005,Mar
Oldboy,77,"132,646",94,Choi Min-sik,Yoo Ji-tae,Choe Min-sik,"637,778",107,80,"Drama,                        Mystery & Suspense","R (for strong violence including scenes of torture, sexuality and pervasive language)",118,2005,Mar
Rock School,78,"14,926",63,Paul Green,C. J. Tywoniak,C.J. Tywoniak,"58,241",63,82,"Documentary,                        Musical & Performing Arts",R (for language),93,2005,Sep
Lost Embrace,79,"1,098",77,Daniel Hendler,Adriana Aizemberg,Adriana Aizenberg,,40,83,"Art House & International,                        Comedy,                        Drama",NR,97,2005,Feb
Munich,80,"329,929",83,Eric Bana,Daniel Craig,Ciarán Hinds,"47,379,090",158,77,"Drama,                        Mystery & Suspense","R (for strong graphic violence, some sexual content, nudity and language)",163,2005,Dec
The Warrior,81,"2,246",71,Irrfan Khan,Noor Mani,Anupam Shyam,,35,83,"Action & Adventure,                        Art House & International,                        Drama",R (for some violence),86,2005,Jul
The Aristocrats,82,"86,991",61,Robin Williams,George Carlin,Billy Connolly,"6,132,550",118,79,"Comedy,                        Documentary,                        Special Interest",NR (adult situations/language),90,2005,Jan
Control (Kontroll),83,"8,056",89,Sándor Csányi,Zoltán Mucsi,Csaba Pindroch,"116,783",54,82,"Action & Adventure,                        Art House & International,                        Drama,                        Mystery & Suspense","R (for language, some violence and brief sexuality)",105,2005,Apr
Match Point,84,"250,466",81,Scarlett Johansson,Matthew Goode,Emily Mortimer,"23,100,000",162,76,"Drama,                        Mystery & Suspense",R (for some sexuality),124,2005,Dec
"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",85,"34,104,834",61,Georgie Henley,Skandar Keynes,William Moseley,"291,685,219",161,76,"Kids & Family,                        Science Fiction & Fantasy",PG (for battle sequences and frightening moments),139,2005,Dec
War of the Worlds,86,"32,518,554",42,Tom Cruise,Dakota Fanning,Justin Chatwin,"234,141,872",188,74,"Action & Adventure,                        Science Fiction & Fantasy",PG-13 (for frightening sequences of sci-fi violence and disturbing images),117,2005,Jun
Keane,87,"5,272",70,Damian Lewis,Amy Ryan,Abigail Breslin,,50,81,"Drama,                        Mystery & Suspense","R (for a scene of strong sexuality, drug use and language)",94,2005,Sep
Wedding Crashers,88,"32,961,546",70,Owen Wilson,Vince Vaughn,Rachel McAdams,"209,218,368",139,76,"Comedy,                        Romance",R (for sexual content/nudity and language),120,2005,Jul
Pooh's Heffalump Movie,89,"13,002",68,Nikita Hopkins,Jim Cummings,Ken Sansom,"18,013,938",68,79,"Animation,                        Kids & Family",G,67,2005,Feb
The Sisterhood of the Traveling Pants,90,"271,866",78,Amber Tamblyn,Alexis Bledel,America Ferrera,"43,504,854",100,77,"Comedy,                        Drama","PG (for thematic elements, some sensuality and language)",119,2005,Jun
CSA: The Confederate States of America,91,"6,951",56,Shaun Toub,Greg Kirsch,Jeris Poindexter,"388,578",53,79,"Comedy,                        Documentary","PG-13 (for strong thematic material involving racial issues, language and disturbing images)",89,2005,Oct
In Her Shoes,92,"390,813",66,Cameron Diaz,Toni Collette,Shirley MacLaine,"32,815,761",122,75,"Comedy,                        Drama","PG-13 (for thematic material, language and some sexual content)",90,2005,Oct
Zathura,93,"281,019",51,Jonah Bobo,Josh Hutcherson,Dax Shepard,"28,045,540",120,75,"Action & Adventure,                        Kids & Family,                        Science Fiction & Fantasy","PG (for fantasy action and peril, and some language)",113,2005,Nov
The Upside of Anger,94,"29,394",63,Joan Allen,Kevin Costner,Erika Christensen,"18,742,061",137,74,"Comedy,                        Drama,                        Romance","R (for language, sexual situations, brief comic violence and some drug use)",118,2005,Mar
The Beautiful Country,95,"2,223",78,Damien Nguyen,Nick Nolte,Tim Roth,"256,488",59,78,Drama,R (for some language and a crude sexual reference),125,2005,Jul
Land of the Dead,96,"137,330",51,Simon Baker,Asia Argento,Dennis Hopper,"20,433,940",129,73,"Action & Adventure,                        Drama,                        Horror,                        Mystery & Suspense","R (for pervasive strong violence and gore, language, brief sexuality and some drug use)",92,2005,Jun
Balzac and the Little Chinese Seamstress,97,"4,647",83,Kun Chen,Xun Zhou,Ye Liu,"302,458",48,77,"Art House & International,                        Comedy,                        Drama,                        Romance",NR,111,2005,Jul
Syriana,98,"226,794",67,George Clooney,Matt Damon,Jeffrey Wright,"50,800,000",142,72,"Drama,                        Mystery & Suspense",R (for violence and language),128,2005,Dec
The Holy Girl,99,"2,062",57,Mia Maestro,Alejo Mango,Maria Alche,"234,013",46,77,"Art House & International,                        Drama",R (for some sexual content and brief nudity),103,2005,Apr
The Puffy Chair,100,"5,069",62,Mark Duplass,Katie Aselton,Rhett Wilkins,"26,029",41,77,"Art House & International,                        Comedy,                        Drama",R (for language),85,2005,Jan
The Incredibles,1,"32,602,818",75,Craig T. Nelson,Holly Hunter,Samuel L. Jackson,,229,97,"Animation,                        Comedy,                        Kids & Family",PG (for action violence),115,2004,Nov
Sideways,2,"197,245",78,Paul Giamatti,Thomas Haden Church,Virginia Madsen,"71,444,367",216,96,"Comedy,                        Drama,                        Romance","R (for language, some strong sexual content and nudity)",127,2004,Sep
Spider-Man 2,3,"1,151,090",81,Tobey Maguire,Kirsten Dunst,James Franco,"373,377,893",249,93,"Action & Adventure,                        Science Fiction & Fantasy",PG-13 (for stylized action violence),127,2004,Jun
Hero,4,"249,073",87,Jet Li,Tony Leung Chiu Wai,Maggie Cheung,"53,583,486",192,95,"Action & Adventure,                        Art House & International,                        Classics,                        Drama",PG-13 (for stylized martial arts violence and a scene of sensuality),122,2004,Aug
Moolaadé,5,"1,802",84,Fatoumata Coulibaly,Helene Diarra,Dominique T. Zeida,,72,99,"Art House & International,                        Drama",NR,120,2004,Oct
The Twilight Samurai (Tasogare Seibei),6,"10,681",94,Hiroyuki Sanada,Rie Miyazawa,Nenji Kobayashi,,68,99,"Action & Adventure,                        Art House & International,                        Drama",NR,129,2004,Apr
Eternal Sunshine Of The Spotless Mind,7,"569,920",94,Jim Carrey,Kate Winslet,Kirsten Dunst,"34,126,138",221,93,"Comedy,                        Drama,                        Science Fiction & Fantasy,                        Romance","R (for language, some drug and sexual content)",108,2004,Mar
Maria Full of Grace,8,"39,626",87,Catalina Sandino Moreno,Yenny Paola Vega,Virginia Ariza,"6,517,198",136,96,"Art House & International,                        Drama",R (for drug content and language),101,2004,Jul
Before Sunset,9,"70,605",91,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,"5,600,000",163,95,"Comedy,                        Drama,                        Romance",R (for language and sexual references),81,2004,Jul
Control Room,10,"6,427",87,Sameer Khader,Lt. Josh Rushing,Hassan Ibrahim,"2,222,612",106,96,"Documentary,                        Special Interest",NR,83,2004,May
Osama,11,"7,260",87,Marina Golbahari,Mohamad Aref Harat,Arif Herati,,99,96,"Art House & International,                        Drama",PG-13 (for mature thematic elements),82,2004,Feb
Million Dollar Baby,12,"404,482",90,Clint Eastwood,Hilary Swank,Morgan Freeman,"100,422,786",232,91,"Drama,                        Romance","PG-13 (for violence, some disturbing images, thematic material and language)",133,2004,Dec
Harry Potter and the Prisoner of Azkaban,13,"1,166,730",86,Daniel Radcliffe,Emma Watson,Rupert Grint,"249,358,727",229,91,"Kids & Family,                        Science Fiction & Fantasy","PG (for frightening moments, creature violence and mild language)",142,2004,Jun
Shaun of the Dead,14,"497,296",93,Simon Pegg,Kate Ashfield,Nick Frost,"13,464,388",187,92,"Action & Adventure,                        Comedy,                        Horror,                        Science Fiction & Fantasy,                        Special Interest",R (for zombie violence/gore and language),97,2004,Sep
Touching the Void,15,"11,035",92,Brendan Mackey,Nicholas Aaron,Joe Simpson (III),"4,527,224",130,94,"Documentary,                        Special Interest,                        Sports & Fitness",R (for language),106,2004,Jun
Born Into Brothels,16,"13,930",91,Avijit Halder,Shanti Das,Puja Mukerjee,"3,370,574",102,95,"Documentary,                        Musical & Performing Arts,                        Special Interest",R (for some sequences of strong language),85,2004,Dec
Since Otar Left,17,"1,577",88,Esther Gorintin,Nino Khomassouridze,Nino Khomasuridze,"220,305",54,96,"Art House & International,                        Drama",NR,102,2004,Apr
Super Size Me,19,"271,729",72,Morgan Spurlock,Dr. Daryl Isaacs,Lisa Ganjhu,"11,014,972",158,92,"Documentary,                        Special Interest","PG-13 (for language, sex and drug references, and a graphic medical procedure)",96,2004,May
The Story of the Weeping Camel,20,"5,732",87,Odgerel Ayusch,Janchiv Ayurzana,Ikhbayar Amgaabazar,"1,273,397",96,94,"Art House & International,                        Documentary,                        Special Interest",PG (for mild thematic content),87,2004,Jun
Hotel Rwanda,21,"241,126",94,Don Cheadle,Sophie Okonedo,Nick Nolte,"23,472,900",172,91,Drama,"PG-13 (for violence, disturbing images and brief strong language)",121,2004,Dec
Vera Drake,22,"11,576",84,Imelda Staunton,Philip Davis,Peter Wight,"3,627,889",144,92,Drama,R (for depiction of strong thematic material),124,2004,Oct
End of the Century: The Story of the Ramones,23,"5,262",93,Ramones The,Dee Dee Ramone,C J. Ramone,,59,95,"Documentary,                        Musical & Performing Arts,                        Special Interest",NR,112,2004,Mar
The Agronomist,25,"1,120",87,Jean Dominique,Michele Montas,Raoul Labuchin,,68,94,"Documentary,                        Special Interest",PG-13 (for some violent images and brief nudity),90,2004,Jun
Kinsey,26,"34,156",75,Liam Neeson,Laura Linney,Chris O'Donnell,"10,214,647",174,90,Drama,"R (for pervasive sexual content, including some graphic images and descriptions)",118,2004,Nov
Riding Giants,27,"6,681",94,Sean Penn,Dick Brewer,Sam George,"2,068,426",88,93,"Documentary,                        Special Interest,                        Sports & Fitness",PG-13 (for brief strong language),105,2004,Jul
My Architect,28,"3,857",83,Nathaniel Kahn,Louis I. Kahn,Edmund Bacon,"2,672,377",84,93,"Documentary,                        Drama,                        Musical & Performing Arts,                        Special Interest",NR,110,2004,Feb
Shrek 2,29,"34,232,079",69,Mike Myers,Eddie Murphy,Cameron Diaz,"436,471,036",207,88,"Animation,                        Comedy,                        Kids & Family,                        Science Fiction & Fantasy","PG (for some crude humor, a brief substance reference and some suggestive content)",93,2004,May
Downfall (Der Untergang),30,"70,074",94,Bruno Ganz,Alexandra Maria Lara,Corinna Harfouch,"5,475,810",124,91,"Art House & International,                        Drama","R (for strong violence, disturbing images and some nudity)",150,2004,Dec
Tarnation,31,"7,475",82,Jonathan Caouette,Renee LeBlanc,Adolph Davis,"417,541",96,92,"Documentary,                        Drama,                        Special Interest",NR,100,2004,Oct
Nobody Knows (Dare mo shiranai),32,"10,021",93,Yûya Yagira,Ayu Kitaura,Hiei Kimura,"491,773",86,92,"Art House & International,                        Drama",PG-13 (for mature thematic elements and some sexual references),140,2004,Oct
The Aviator,33,"207,131",79,Leonardo DiCaprio,Cate Blanchett,Kate Beckinsale,"102,563,679",188,87,Drama,"PG-13 (for thematic elements, sexual content, nudity, language and crash sequence)",170,2004,Dec
La demoiselle d'honneur (The Bridesmaid),34,"1,678",59,Benoît Magimel,Laura Smet,Aurore Clement,,48,92,"Art House & International,                        Drama,                        Mystery & Suspense",NR,110,2004,Nov
The Corporation,35,"22,749",90,Raymond L. Anderson,Mark Barry,Elain Bernard,"1,350,094",99,90,"Documentary,                        Drama,                        Special Interest",NR,145,2004,Apr
"Good Bye, Lenin!",36,"55,712",93,Daniel Brühl,Katrin Sass,Chulpan Khamatova,"4,000,000",96,90,"Art House & International,                        Comedy,                        Drama,                        Romance",R (for brief language and sexuality),118,2004,Feb
Collateral,37,"363,682",84,Tom Cruise,Jamie Foxx,Mark Ruffalo,"100,003,492",201,86,"Action & Adventure,                        Drama,                        Mystery & Suspense",R (for violence and language),122,2004,Aug
House of Flying Daggers,38,"217,738",82,Ziyi Zhang,Takeshi Kaneshiro,Andy Lau,"10,928,042",149,88,"Action & Adventure,                        Art House & International,                        Drama","PG-13 (for sequences of stylized martial arts violence, and some sexuality)",119,2004,Dec
Shaolin Soccer,39,"69,158",84,Stephen Chow,Man Tat Ng,Wei Zhao,"172,448",83,90,"Action & Adventure,                        Art House & International,                        Comedy",PG-13 (for action violence),111,2004,Apr
Metallica: Some Kind of Monster,40,"23,642",83,Metallica,James Hetfield,Lars Ulrich,"964,464",109,89,"Documentary,                        Musical & Performing Arts,                        Special Interest",R,135,2004,Jan
Mean Creek,41,"32,761",81,Rory Culkin,Ryan Kelley,Scott Mechlowicz,"295,919",109,89,Drama,"R (for language, sexual references, teen drug use and alcohol use)",89,2004,Aug
My Summer of Love,42,"11,550",69,Natalie Press,Emily Blunt,Paddy Considine,"859,409",79,90,"Drama,                        Romance","R (for sexuality, language and some drug use)",87,2004,Jun
Dig!,44,"7,839",90,Courtney Taylor,The Dandy Warhols,The Brian Jonestown Massacre,,64,90,"Documentary,                        Musical & Performing Arts,                        Special Interest",R (for language and drug use),110,2004,Oct
The Woodsman,45,"20,890",77,Kevin Bacon,Kyra Sedgwick,Yasiin Bey,"1,456,291",115,88,Drama,"R (for sexuality, disturbing behavior and language)",85,2004,Dec
Garden State,46,"329,853",88,Zach Braff,Natalie Portman,Peter Sarsgaard,"26,706,668",164,86,"Comedy,                        Drama,                        Romance","R (for language, drug use and a scene of sexuality)",102,2004,Jul
Going Upriver: The Long War of John Kerry,47,999,65,John Kerry,David Alston,Dan Barbiero,"480,752",74,89,"Documentary,                        Musical & Performing Arts,                        Special Interest",PG-13 (not Rated),88,2004,Oct
Kill Bill: Volume 2,48,"840,139",89,Uma Thurman,David Carradine,Michael Madsen,,198,84,"Action & Adventure,                        Comedy,                        Drama","R (for violence, language and brief drug use)",137,2004,Apr
Bad Education,49,"46,139",86,Gael García Bernal,Fele Martínez,Daniel Giménez Cacho,"4,977,869",122,87,"Art House & International,                        Drama,                        Mystery & Suspense,                        Romance",NC17 (for a scene of explicit sexual content),104,2004,Nov
Kitchen Stories,50,"5,025",86,Joachim Calmeyer,Tomas Norström,Bjørn Floberg,,67,89,"Art House & International,                        Comedy,                        Drama",PG (for mild language),95,2004,Feb
Brothers,51,"4,111",85,Connie Nielsen,Ulrich Thomsen,Nikolaj Lie Kaas,"245,006",65,89,"Art House & International,                        Drama","R (for violence, language and brief nudity)",110,2004,Aug
Last Life in the Universe,52,"9,009",90,Tadanobu Asano,Sinitta Boonyasak,Laila Boonyasak,,37,90,"Art House & International,                        Comedy,                        Drama","R (for violence, sexual content, language and drug use)",108,2004,Aug
James' Journey to Jerusalem,53,881,90,Siyabonga Melongisi Shibe,Arieh Elias,Arie Elias,,36,90,"Art House & International,                        Comedy,                        Drama",NR,87,2004,Mar
Uzak (Distant),54,"5,402",82,Muzaffer Ozdemir,Mehmet Emin Toprak,Zuhal Gencer Erkaya,,39,89,Drama,NR,110,2004,Mar
Fahrenheit 9/11,55,"207,795",69,George W. Bush,Michael Moore,Stevie Wonder,"119,078,393",192,83,"Documentary,                        Special Interest","R (for some violent and disturbing images, and for language)",122,2004,Jun
3-Iron,56,"23,631",94,Seung-yeon Lee,Hyuk-ho Kwon,Hyun-kyoon Lee,"100,000",79,87,"Drama,                        Romance",R (for some sexual content),87,2004,Oct
Mayor of the Sunset Strip,58,"1,708",76,Rodney Bingenheimer,Coldplay,Oasis,,66,87,"Documentary,                        Musical & Performing Arts","R (for sexual content/nudity, language and some drug references)",94,2004,Mar
Save the Green Planet,59,"7,320",88,Shin Ha-Gyun,Ha-kyun Shin,Baek Yun-shik,,35,88,"Art House & International,                        Comedy,                        Drama,                        Horror,                        Science Fiction & Fantasy",NR,116,2004,Jan
Lightning in a Bottle,60,"1,114",88,Solomon Burke,Ben Cauley,"Clarence ""Gatemouth"" Brown","78,031",55,87,"Documentary,                        Musical & Performing Arts,                        Special Interest",PG-13 (for brief strong language),106,2004,Mar
The Motorcycle Diaries,61,"68,623",92,Gael García Bernal,Rodrigo De la Serna,Mia Maestro,"16,680,023",129,84,Drama,R (for language),128,2004,Jan
Mean Girls,62,"32,167,268",66,Lindsay Lohan,Rachel McAdams,Lacey Chabert,"85,974,306",148,83,Comedy,"PG-13 (for sexual content, language and some teen partying)",96,2004,Apr
Guerrilla: The Taking of Patty Hearst,63,103,81,Catherine Hearst,Evelle Younger,Marcus Foster,"22,444",40,87,"Documentary,                        Special Interest",NR,89,2004,Sep
Finding Neverland,64,"465,211",87,Johnny Depp,Kate Winslet,Julie Christie,,167,82,Drama,PG (for mild thematic elements and brief language),101,2004,Nov
Crimson Gold,65,"1,588",82,Hossain Emadeddin,Hussein Emadeddin,Kamyar Sheissi,,64,86,"Art House & International,                        Drama,                        Mystery & Suspense",NR,95,2004,Feb
In Good Company,66,"65,212",54,Dennis Quaid,Topher Grace,Scarlett Johansson,"45,489,752",139,83,"Comedy,                        Drama",PG-13 (for some sexual content and drug references),109,2004,Dec
The Sea Inside (Mar Adentro) (The Sea Within),67,"36,435",92,Javier Bardem,Belén Rueda,Lola Dueñas,"1,870,746",110,84,"Art House & International,                        Drama",PG-13 (for intense depiction of mature thematic material),125,2004,Nov
Wilbur Wants to Kill Himself,70,"5,247",72,Jamie Sives,Adrian Rawlins,Shirley Henderson,,68,85,"Comedy,                        Drama",R (for language and some disturbing images),106,2004,Mar
Ray,71,"214,353",87,Jamie Foxx,Kerry Washington,Regina King,"14,168",161,81,Drama,"PG-13 (for depiction of drug addiction, sexuality, and some thematic elements)",148,2004,Oct
Hellboy,72,"458,367",65,Ron Perlman,John Hurt,Selma Blair,"59,035,104",161,81,"Action & Adventure,                        Horror,                        Science Fiction & Fantasy",PG-13 (for sci-fi action violence and frightening images),122,2004,Apr
The Bourne Supremacy,73,"708,401",90,Matt Damon,Franka Potente,Brian Cox,"176,049,130",158,81,"Action & Adventure,                        Drama,                        Mystery & Suspense","PG-13 (for violence and intense action, and brief language)",108,2004,Jul
Outfoxed: Rupert Murdoch's War on Journalism,74,"6,081",77,Eric Alterman,Joel Barkin,Wally Bowen,"237,277",51,85,"Documentary,                        Special Interest,                        Television",NR,77,2004,Jul
Monster,75,"84,491",81,Charlize Theron,Christina Ricci,Bruce Dern,"34,187,787",151,81,Drama,"R (for strong violence and sexual content, and for pervasive language)",109,2004,Jan
The Yes Men,76,"5,841",66,Mike Bonanno,Andy Bichlbaum,Phil Bayly,"151,884",70,84,"Comedy,                        Documentary,                        Special Interest",R (for language),80,2004,Feb
The Manchurian Candidate,77,"68,254",63,Denzel Washington,Meryl Streep,Liev Schreiber,"65,700,000",164,80,"Action & Adventure,                        Drama,                        Mystery & Suspense",R (for violence and some language),130,2004,Jul
The Manchurian Candidate,77,"31,147",90,Laurence Harvey,Frank Sinatra,Angela Lansbury,,52,98,"Classics,                        Drama,                        Mystery & Suspense",PG-13 (Previously rated in (62)),127,1962,Oct
Friday Night Lights,78,"185,692",85,Billy Bob Thornton,Lucas Black,Garrett Hedlund,"60,600,000",138,81,"Action & Adventure,                        Drama","PG-13 (for thematic issues, sexual content, language, some teen drinking and rough sports action)",117,2004,Oct
Red Lights,79,"1,417",65,Jean-Pierre Darroussin,Carole Bouquet,Vincent Deniard,"515,992",72,83,"Drama,                        Mystery & Suspense",PG,106,2004,Mar
Up and Down (Horem Pádem) (Loop the Loop),80,"1,173",73,Petr Forman,Emília Vásáryová,Jan Triska,,55,83,"Art House & International,                        Comedy,                        Drama","R (for language, sexual content and brief violence)",108,2004,Sep
Miracle,81,"56,893",90,Kurt Russell,Patricia Clarkson,Noah Emmerich,"64,329,473",127,80,Drama,PG (for language and some rough sports action),135,2004,Feb
Somersault,82,"19,549",71,Abbie Cornish,Sam Worthington,Lynette Curran,,53,83,Drama,NR,106,2004,Apr
Broadway: The Golden Age,83,465,91,Edie Adams,Elizabeth Ashley,Alec Baldwin,,38,83,"Documentary,                        Musical & Performing Arts,                        Special Interest",NR,113,2004,Jun
Team America: World Police,84,"402,673",80,Trey Parker,Matt Stone,Kristen Miller,"32,700,000",150,77,"Comedy,                        Drama","R (for graphic crude and sexual behavior, violent images and strong language -- all involving puppets)",97,2004,Oct
A Very Long Engagement,85,"65,323",85,Audrey Tautou,Gaspard Ulliel,Jean-Pierre Becker,"6,200,000",114,78,"Art House & International,                        Drama,                        Romance",R (for violence and sexuality),133,2004,Oct
Crash,86,"441,955",88,Sandra Bullock,Don Cheadle,Matt Dillon,"55,382,847",171,75,Drama,"R (for language, sexual content and some violence)",113,2004,Sep
Crash,86,"56,081",61,James Spader,Holly Hunter,Elias Koteas,"3,168,660",29,58,"Drama,                        Mystery & Suspense",NC17 (For numerous explicit sex scenes),98,1996,May
Dawn of the Dead,87,"403,650",77,Sarah Polley,Ving Rhames,Jake Weber,"58,885,635",139,76,"Drama,                        Horror,                        Mystery & Suspense","R (for pervasive strong horror violence and gore, language and sexuality)",109,2004,Mar
Dawn of the Dead,87,"204,395",90,David Emge,Ken Foree,Scott Reiniger,,37,93,"Action & Adventure,                        Horror,                        Science Fiction & Fantasy","R (adult situations/language, violence)",126,1979,May
Two Brothers,88,"32,345",75,Guy Pearce,Jean-Claude Dreyfus,Freddie Highmore,"18,947,630",89,78,"Action & Adventure,                        Drama,                        Kids & Family",PG (for mild violence),104,2004,Jun
The Machinist,89,"155,660",83,Christian Bale,Jennifer Jason Leigh,Aitana Sánchez-Gijón,"939,471",109,77,"Drama,                        Mystery & Suspense","R (for violence, and disturbing images, sexuality and language)",98,2004,Oct
